group,age,speaker,vowel,f1,f2
4,20-25,S4-3,hod,496,811
4,20-25,S4-3,hoard,391,571
4,20-25,S4-3,hood,436,1174
4,20-25,S4-3,who'd,281,1576
4,20-25,S4-3,hud,738,1124
4,20-25,S4-3,heard,515,1278
4,20-25,S4-4,heed,295,1962
4,20-25,S4-4,hid,346,2000
4,20-25,S4-4,head,518,1677
4,20-25,S4-4,had,963,1370
4,20-25,S4-4,hard,531,1044
4,20-25,S4-4,hod,452,830
4,20-25,S4-4,hoard,386,654
4,20-25,S4-4,hood,353,1087
4,20-25,S4-4,who'd,297,1446
4,20-25,S4-4,hud,500,1224
4,20-25,S4-4,heard,461,1334
4,20-25,S4-4,heed,291,1996
4,20-25,S4-4,hid,342,1974
4,20-25,S4-4,head,444,1985
4,20-25,S4-4,had,1049,1459
4,20-25,S4-4,hard,620,1092
4,20-25,S4-4,hod,451,782
4,20-25,S4-4,hoard,335,570
4,20-25,S4-4,hood,370,1100
4,20-25,S4-4,who'd,229,1241
4,20-25,S4-4,hud,620,1107
4,20-25,S4-4,heard,449,1273
4,20-25,S4-4,heed,309,1983
4,20-25,S4-4,hid,374,1930
4,20-25,S4-4,head,523,1694
4,20-25,S4-4,had,956,1292
4,20-25,S4-4,hard,637,1066
4,20-25,S4-4,hod,454,826
4,20-25,S4-4,hoard,452,535
4,20-25,S4-4,hood,369,1153
4,20-25,S4-4,who'd,262,1605
4,20-25,S4-4,hud,587,1207
4,20-25,S4-4,heard,431,1347
4,20-25,S4-4,heed,269,2045
4,20-25,S4-4,hid,335,1996
4,20-25,S4-4,head,515,1726
4,20-25,S4-4,had,1009,1396
4,20-25,S4-4,hard,562,1081
4,20-25,S4-4,hod,433,891
4,20-25,S4-4,hoard,469,654
4,20-25,S4-4,hood,357,1281
4,20-25,S4-4,who'd,303,1589
4,20-25,S4-4,hud,572,1218
4,20-25,S4-4,heard,486,1344
4,20-25,S4-5,heed,244,2632
4,20-25,S4-5,hid,414,2311
4,20-25,S4-5,head,682,1862
4,20-25,S4-5,had,786,1375
4,20-25,S4-5,hard,668,1038
4,20-25,S4-5,hod,520,878
4,20-25,S4-5,hoard,369,755
4,20-25,S4-5,hood,453,1275
4,20-25,S4-5,who'd,332,1917
4,20-25,S4-5,hud,670,1177
4,20-25,S4-5,heard,537,1366
4,20-25,S4-5,heed,268,2640
4,20-25,S4-5,hid,454,2256
4,20-25,S4-5,head,737,1912
4,20-25,S4-5,had,839,1476
4,20-25,S4-5,hard,699,1027
4,20-25,S4-5,hod,410,851
4,20-25,S4-5,hoard,419,540
4,20-25,S4-5,hood,393,1223
4,20-25,S4-5,who'd,251,1660
4,20-25,S4-5,hud,679,1155
4,20-25,S4-5,heard,499,1364
4,20-25,S4-5,heed,284,2627
4,20-25,S4-5,hid,389,2278
4,20-25,S4-5,head,704,1963
4,20-25,S4-5,had,931,1468
4,20-25,S4-5,hard,762,1068
4,20-25,S4-5,hod,486,855
4,20-25,S4-5,hoard,445,753
4,20-25,S4-5,hood,417,1125
4,20-25,S4-5,who'd,268,1778
4,20-25,S4-5,hud,784,1178
4,20-25,S4-5,heard,533,1314
4,20-25,S4-5,heed,253,2612
4,20-25,S4-5,hid,415,2191
4,20-25,S4-5,head,673,2070
4,20-25,S4-5,had,870,1457
4,20-25,S4-5,hard,704,1090
4,20-25,S4-5,hod,533,919
4,20-25,S4-5,hoard,454,830
4,20-25,S4-5,hood,453,1245
4,20-25,S4-5,who'd,302,1627
4,20-25,S4-5,hud,744,1170
4,20-25,S4-5,heard,546,1332
